codeValue;alternateName;country_group;name@en;name@fr;name@de;latitude;longitude
at;AT;eu;Austria;Autriche;÷sterreich;47,6965545;13,34598005
be;BE;eu;Belgium;Belgique;Belgien;50,501045;4,47667405
bg;BG;eu;Bulgaria;Bulgarie;Bulgarien;42,72567375;25,4823218
hr;HR;non-eu;Croatia;Croatie;Kroatien;44,74664297;15,34084438
cy;CY;eu;Cyprus;Chypre;Zypern;35,129141;33,4286823
cz;CZ;eu;Czech Republic;R√©publique tch√®que;Tschechische Republik;49,803531;15,47499805
dk;DK;eu;Denmark;Danemark;D‰nemark;55,93968425;9,51668905
ee;EE;eu;Estonia;Estonie;Estland;58,5924685;25,8069503
fi;FI;eu;Finland;Finlande;Finnland;64,95015875;26,06756405
fr;FR;eu;France;France;Frankreich;46,7109945;1,7185608
de;DE;eu;Germany(West);Allemagne (Ouest);Deutschland (West);51,307752;9,476739
de;DE;eu;Germany(East);Allemagne (Est);Deutschland (Ost);52,476132;13,40532
gr;GR;eu;Greece;Gr√®ce;Griechenland;39,698467;21,57725572
hu;HU;eu;Hungary;Hongrie;Ungarn;47,16116325;19,5042648
ie;IE;eu;Ireland;Irlande;Irland;53,41526;-8,2391222
it;IT;eu;Italy;Italie;Italien;42,504191;12,57378705
lv;LV;eu;Latvia;Lettonie;Lettland;56,880117;24,60655505
lt;LT;eu;Lithuania;Lituanie;Litauen;55,173687;23,9431678
lu;LU;eu;Luxembourg;Luxembourg;Luxemburg;49,815319;6,13335155
mt;MT;eu;Malta;Malte;Malta;35,902422;14,4474608
nl;NL;eu;Netherlands;Pays-Bas;Niederlande;52,10811825;5,3301983
no;NO;non-eu;Norway;Norv√®ge;Norwegen;64,55645975;12,66576565
pl;PL;eu;Poland;Pologne;Polen;51,91890725;19,1343338
pt;PT;eu;Portugal;Portugal;Portugal;39,55806875;-7,84494095
ro;RO;eu;Romania;Roumanie;Rum√§nien;45,94261125;24,99015155
sk;SK;eu;Slovakia;Slovaquie;Slowakei;48,67264375;19,7000323
si;SI;eu;Slovenia;Slov√©nie;Slowenien;46,14925925;14,98661705
es;ES;eu;Spain;Espagne;Spanien;39,8950135;-2,9882957
se;SE;eu;Sweden;Su√®de;Schweden;62,1984675;14,89630657
tr;TR;non-eu;Turkey;Turquie;T¸rkei;38,95294205;35,43979471
uk;GB;eu;United Kingdom;Royaume-Uni;Vereinigtes Kˆnigreich;54,315447;-2,23261195
